Date,Matcha (South Korea),Zero (South Korea),Protein (South Korea),Vegan (South Korea),Slow Aging (South Korea)
2020-12-06,6,8,15,11,0
2020-12-13,6,8,13,4,0
2020-12-20,6,6,17,8,0
2020-12-27,0,8,10,9,0
2021-01-03,6,6,15,6,0
2021-01-10,5,8,19,10,0
2021-01-17,4,10,18,7,0
2021-01-24,7,13,18,10,0
2021-01-31,0,10,13,9,0
2021-02-07,7,10,14,11,0
2021-02-14,6,12,14,10,0
2021-02-21,0,12,14,13,0
2021-02-28,4,11,17,10,0
2021-03-07,7,7,14,11,0
2021-03-14,5,10,13,12,0
2021-03-21,5,10,16,11,0
2021-03-28,5,12,18,10,0
2021-04-04,8,12,13,10,0
2021-04-11,7,11,13,9,0
2021-04-18,8,13,14,12,0
2021-04-25,0,10,18,11,0
2021-05-02,0,10,17,10,0
2021-05-09,7,12,15,11,0
2021-05-16,9,10,16,9,0
2021-05-23,8,14,16,11,0
2021-05-30,6,13,19,10,0
2021-06-06,0,10,15,10,0
2021-06-13,8,15,16,9,0
2021-06-20,6,13,14,12,0
2021-06-27,5,13,16,11,0
2021-07-04,4,11,15,7,0
2021-07-11,4,11,20,11,0
2021-07-18,5,16,17,8,0
2021-07-25,4,12,17,11,0
2021-08-01,4,12,18,13,0
2021-08-08,5,11,18,11,0
2021-08-15,4,15,20,11,0
2021-08-22,5,10,13,7,0
2021-08-29,5,10,14,7,0
2021-09-05,6,11,13,11,0
2021-09-12,4,12,17,11,0
2021-09-19,6,6,12,10,0
2021-09-26,0,10,17,10,0
2021-10-03,5,12,13,10,0
2021-10-10,0,10,18,10,0
2021-10-17,7,7,21,12,0
2021-10-24,5,11,13,10,0
2021-10-31,6,9,16,10,0
2021-11-07,10,11,17,14,0
2021-11-14,6,10,20,11,0
2021-11-21,5,11,19,11,0
2021-11-28,4,9,16,10,0
2021-12-05,8,10,14,13,0
2021-12-12,5,14,17,10,0
2021-12-19,0,11,8,12,0
2021-12-26,5,9,18,9,0
2022-01-02,6,18,18,12,0
2022-01-09,7,16,14,8,0
2022-01-16,6,18,18,15,0
2022-01-23,0,14,20,14,0
2022-01-30,10,14,16,14,0
2022-02-06,13,15,13,12,0
2022-02-13,7,16,20,13,0
2022-02-20,6,15,18,10,0
2022-02-27,6,16,17,10,0
2022-03-06,5,15,17,12,0
2022-03-13,7,18,20,11,0
2022-03-20,9,15,16,17,0
2022-03-27,10,16,17,13,0
2022-04-03,11,21,17,16,0
2022-04-10,7,16,19,12,0
2022-04-17,6,19,21,13,0
2022-04-24,8,20,20,13,0
2022-05-01,10,19,21,16,0
2022-05-08,10,19,19,11,0
2022-05-15,7,20,19,16,0
2022-05-22,7,21,15,15,0
2022-05-29,5,22,20,16,0
2022-06-05,7,21,21,10,0
2022-06-12,11,24,24,14,0
2022-06-19,9,32,25,15,0
2022-06-26,11,23,23,12,0
2022-07-03,10,25,25,16,0
2022-07-10,9,21,22,11,0
2022-07-17,9,26,23,14,0
2022-07-24,5,23,21,13,0
2022-07-31,8,21,19,15,0
2022-08-07,6,25,23,15,0
2022-08-14,12,23,23,9,0
2022-08-21,9,23,25,9,0
2022-08-28,9,21,21,15,0
2022-09-04,8,20,19,14,0
2022-09-11,8,20,18,9,0
2022-09-18,9,23,23,11,0
2022-09-25,7,22,17,10,0
2022-10-02,9,26,22,12,0
2022-10-09,9,23,16,11,0
2022-10-16,7,23,17,9,0
2022-10-23,10,22,17,13,0
2022-10-30,9,17,16,12,0
2022-11-06,10,30,16,12,0
2022-11-13,7,21,19,14,0
2022-11-20,9,23,18,14,0
2022-11-27,9,19,19,8,0
2022-12-04,9,28,18,12,0
2022-12-11,7,23,15,9,0
